transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,amered,Setophaga ruticilla,American Redstart,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,thlsch2,Schiffornis veraepacis,Northern Schiffornis,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,reevir1,Vireo olivaceus,Red-eyed Vireo,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,ducfly,Myiarchus tuberculifer,Dusky-capped Flycatcher,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,grtcha1,Granatellus sallaei,Gray-throated Chat,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,indbun,Passerina cyanea,Indigo Bunting,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,coltro1,Trogon collaris,Collared Trogon,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,scapig2,Patagioenas speciosa,Scaled Pigeon,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,ducfly,Myiarchus tuberculifer,Dusky-capped Flycatcher,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,rudwoo1,Dendrocincla homochroa,Ruddy Woodcreeper,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,reevir1,Vireo olivaceus,Red-eyed Vireo,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,relpar10,Amazona autumnalis,Red-lored Amazon,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,orcori,Icterus spurius,Orchard Oriole,forest
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,thitin1,Crypturellus cinnamomeus,Thicket Tinamou,forest
